texto,categoria,urgencia
Nadie responde en el portal estudiantil.,Queja,Media
Pido información actualizada sobre la app móvil.,Petición,Baja
"Buenas, quisiera saber si es posible conseguir un certificado de la carnetización esta semana.",Petición,Baja
"El personal de la renovación de documentos me dio información incorrecta que me hizo perder tiempo y dinero. Cuando volví a reclamar, la asesora fue muy grosero.",Queja,Media
Me podrían decir qué documentos necesito para tiempos de entrega? Gracias de antemano.,Petición,Baja
"Estoy muy molesto con el proceso de inscripción, es la tercera vez que vengo y nadie me soluciona nada.",Queja,Media
"Francamente el servicio técnico está muy mal organizado, uno pierde el día entero aquí sin resultado.",Queja,Media
Pido información actualizada sobre la plataforma web.,Petición,Baja
Exijo reembolso por el portal estudiantil.,Reclamo,Media
Pagué por un servicio que no recibí correctamente. No quiero causar problemas pero sí necesito una solución.,Reclamo,Alta
¿Cómo accedo a la renovación de documentos?,Petición,Media
Incumplimiento grave en certificados. Exijo respuesta.,Reclamo,Alta
Ya se pasó el plazo que me dieron para resolver la app móvil y siguen sin cumplir.,Reclamo,Alta
Soy estudiante de último semestre y necesito tramitar el área de nómina antes del 2 de diciembre para poder graduarme. ¿Cuál es el proceso?,Petición,Baja
Hace 5 meses tuve un problema con el servicio técnico que causó un perjuicio económico directo. He seguido el conducto regular y no he obtenido ninguna respuesta formal.,Reclamo,Alta
"Por medio de la presente, solicito comedidamente que se me suministre información detallada sobre devoluciones, conforme a los procedimientos establecidos.",Petición,Baja
¿Por qué no implementan una opción en línea para tiempos de entrega? Ahorraría mucho tiempo a todos.,Sugerencia,Baja
"Hola, ¿me pueden ayudar con información sobre la carnetización? No sé muy bien a quién dirigirme.",Petición,Baja
"Francamente los turnos de atención está muy mal organizado, uno pierde el día entero aquí sin resultado.",Queja,Media
"Con el ánimo de contribuir al mejoramiento institucional, propongo que se revisen los procedimientos de el sistema de citas para hacerlos más eficientes.",Sugerencia,Media
Llevo 6 semanas intentando entender el procedimiento para la plataforma web. He revisado la página pero la información está desactualizada.,Petición,Media
"Esto es un robo, me cobraron de más en trámites académicos y llevan 5 semanas sin devolverme el dinero.",Reclamo,Alta
¿Alguien me puede decir por qué mi solicitud lleva tanto tiempo sin respuesta? Solo quiero saber el estado.,Petición,Media
Ya se pasó el plazo que me dieron para resolver trámites académicos y siguen sin cumplir.,Reclamo,Alta
"Hago constar mi malestar ante la falta de respuesta oportuna en el área de nómina, situación que se ha prolongado de manera injustificada.",Queja,Media
Los adultos mayores tienen muchas dificultades con los turnos de atención. Propongo un módulo de atención preferencial con personal capacitado para este grupo.,Sugerencia,Media
Necesito orientación sobre el sistema de pagos.,Petición,Baja
Incumplimiento grave en atención al cliente. Exijo respuesta.,Reclamo,Alta
"Elevo propuesta de mejora para los trámites de matrícula, considerando que su optimización beneficiaría a un gran número de usuarios.",Sugerencia,Media
Presento reclamo formal por cobro indebido en el servicio técnico. Solicito el reintegro del valor cobrado en exceso en un plazo no mayor a cinco días hábiles.,Reclamo,Alta
Necesito orientación sobre la renovación de documentos.,Petición,Media
"No puedo creer lo mal que funciona la línea de atención telefónica, es una vergüenza para la institución.",Queja,Alta
"Por medio de la presente manifiesto mi inconformidad con el deficiente servicio prestado en atención al cliente, situación que ha generado perjuicios a mi proceso.",Queja,Alta
Propongo más capacitación del personal en el área de nómina.,Sugerencia,Baja
Necesito con urgencia el certificado de pagos del último año. Ya lo pedí hace dos semanas y no ha llegado.,Petición,Baja
"Me permito sugerir respetuosamente la implementación de mejoras en la línea de atención telefónica, con el fin de optimizar la experiencia del usuario y reducir los tiempos de atención.",Sugerencia,Baja
He observado que la app móvil tiene cuellos de botella en horas pico. Una solución sería habilitar citas virtuales para descongestionar la atención presencial.,Sugerencia,Baja
La aplicación de la plataforma web lleva 3 días sin funcionar. He intentado contactar soporte 3 veces y nadie responde ni por correo ni por teléfono.,Queja,Media
"Fui a renovar mi carnet, me dijeron que volviera en una semana, volví y me dijeron que no había sistema. Tercera vez que voy y sigo sin renovarlo.",Queja,Baja
Llevo 2 meses reclamando por el proceso de inscripción y nadie me da solución. Voy a poner una denuncia.,Reclamo,Alta
"Con el ánimo de contribuir al mejoramiento institucional, propongo que se revisen los procedimientos de los trámites de matrícula para hacerlos más eficientes.",Sugerencia,Baja
No entiendo por qué me cobraron un valor diferente al de la factura anterior. Necesito que alguien me explique ese incremento.,Queja,Alta
"Me dirijo respetuosamente a su despacho con el fin de solicitar trámites académicos, documento necesario para adelantar un trámite ante una entidad externa.",Petición,Baja
"Estoy muy molesto con el sistema de pagos, es la tercera vez que vengo y nadie me soluciona nada.",Queja,Baja
Mi empleador me pide un documento de atención al cliente para renovar mi contrato. ¿Cuánto tiempo tarda el trámite y qué debo presentar?,Petición,Baja
¿Por qué no implementan una opción en línea para el proceso de inscripción? Ahorraría mucho tiempo a todos.,Sugerencia,Baja
"Oigan, una sugerencia: pongan más personal para pagos en línea en las horas pico, siempre hay filas enormes.",Sugerencia,Baja
"Por favor envíenme la información sobre mi trámite cuanto antes, ya debería haber llegado hace días.",Petición,Baja
Presento reclamo formal por cobro indebido en el sistema de citas. Solicito el reintegro del valor cobrado en exceso en un plazo no mayor a cinco días hábiles.,Reclamo,Alta
Exijo reembolso por trámites académicos.,Reclamo,Alta
"Elevo queja formal por el trato inadecuado recibido en pagos en línea, el cual no corresponde con los estándares de calidad prometidos.",Queja,Media
Me podrían decir qué documentos necesito para atención al cliente? Gracias de antemano.,Petición,Baja
Necesito orientación sobre trámites académicos.,Petición,Media
Muy mala atención en el área de nómina.,Queja,Media
"Estoy muy molesto con facturación, es la tercera vez que vengo y nadie me soluciona nada.",Queja,Alta
El servicio ha sido muy malo estos últimos meses y además me están cobrando de más. Esto no es lo que contraté.,Reclamo,Alta
Pido información actualizada sobre el servicio técnico.,Petición,Baja
Soy estudiante de último semestre y necesito tramitar atención al cliente antes del 7 de diciembre para poder graduarme. ¿Cuál es el proceso?,Petición,Baja
Los adultos mayores tienen muchas dificultades con atención al cliente. Propongo un módulo de atención preferencial con personal capacitado para este grupo.,Sugerencia,Baja
"Fui a realizar devoluciones y el funcionario me atendió de mala manera, no escuchó mis explicaciones y me dijo que volviera otro día sin justificación.",Queja,Media
"Elevo queja formal por el trato inadecuado recibido en los trámites de matrícula, el cual no corresponde con los estándares de calidad prometidos.",Queja,Media
Mi empleador me pide un documento de certificados para renovar mi contrato. ¿Cuánto tiempo tarda el trámite y qué debo presentar?,Petición,Media
¿Cómo accedo a pagos en línea?,Petición,Baja
Realicé el pago en línea pero el sistema no me generó el recibo. Necesito ese comprobante para continuar con mi trámite.,Petición,Baja
"Mediante el presente escrito elevo reclamo por el portal estudiantil, solicitando solución inmediata so pena de acudir a los organismos de control.",Reclamo,Alta
Pagué por un servicio que no recibí correctamente. No quiero causar problemas pero sí necesito una solución.,Reclamo,Alta
Realicé el pago en línea pero el sistema no me generó el recibo. Necesito ese comprobante para continuar con mi trámite.,Petición,Media
Nadie contesta el teléfono.,Queja,Media
Sería útil simplificar atención al cliente.,Sugerencia,Baja
"Hola, ¿me pueden ayudar con información sobre el sistema de citas? No sé muy bien a quién dirigirme.",Petición,Baja
"Por medio de la presente manifiesto mi inconformidad con el deficiente servicio prestado en la renovación de documentos, situación que ha generado perjuicios a mi proceso.",Queja,Baja
"Mediante el presente escrito elevo reclamo por los trámites de matrícula, solicitando solución inmediata so pena de acudir a los organismos de control.",Reclamo,Media
"Me permito solicitar de manera formal el acceso a pagos en línea, de acuerdo con los derechos que me asisten como ciudadano.",Petición,Baja
"El personal de el servicio técnico me dio información incorrecta que me hizo perder tiempo y dinero. Cuando volví a reclamar, la funcionaria fue muy grosero.",Queja,Media
"Necesito que alguien me explique cómo funciona pagos en línea, nadie me ha dado una respuesta clara.",Petición,Baja
Me citaron a las 8am para devoluciones y no me atendieron hasta las 12:30pm sin ninguna explicación sobre la demora. Perdí medio día de trabajo.,Queja,Media
"Me parece que el personal necesita más capacitación, no es la primera vez que me dan información incorrecta.",Queja,Media
"Exijo el cumplimiento de lo acordado en la carnetización. Han transcurrido 6 meses sin respuesta, lo cual constituye un incumplimiento contractual.",Reclamo,Alta
"Me parece que el personal necesita más capacitación, no es la primera vez que me dan información incorrecta.",Queja,Media
La aplicación de la plataforma web lleva 5 días sin funcionar. He intentado contactar soporte 5 veces y nadie responde ni por correo ni por teléfono.,Queja,Alta
Firmé un contrato que garantizaba ciertos estándares en facturación. Desde el primer día el servicio ha sido deficiente y nadie asume responsabilidad.,Reclamo,Media
He observado que devoluciones tiene cuellos de botella en horas pico. Una solución sería habilitar citas virtuales para descongestionar la atención presencial.,Sugerencia,Baja
Nadie responde en la plataforma web.,Queja,Alta
Firmé un contrato que garantizaba ciertos estándares en la plataforma web. Desde el primer día el servicio ha sido deficiente y nadie asume responsabilidad.,Reclamo,Alta
"Sería buenísimo que mejoraran el área de nómina, todos los usuarios se quejan de lo mismo.",Sugerencia,Baja
No han cumplido con la app móvil en el plazo acordado.,Reclamo,Media
Presento reclamo formal por cobro indebido en facturación. Solicito el reintegro del valor cobrado en exceso en un plazo no mayor a cinco días hábiles.,Reclamo,Media
Reclamo formal por la carnetización. Adjunto pruebas.,Reclamo,Alta
"Con el ánimo de contribuir al mejoramiento institucional, propongo que se revisen los procedimientos de atención al cliente para hacerlos más eficientes.",Sugerencia,Baja
"Me permito solicitar de manera formal el acceso a facturación, de acuerdo con los derechos que me asisten como ciudadano.",Petición,Baja
"Llevo meses esperando respueta y nadie me contacta, esto es injusto.",Reclamo,Alta
Mi empleador me pide un documento de trámites académicos para renovar mi contrato. ¿Cuánto tiempo tarda el trámite y qué debo presentar?,Petición,Baja
Creo que hubo un error en mi facturación. ¿Podrían verificar y ajustar si es el caso?,Reclamo,Alta
"Interpongo reclamo formal por incumplimiento en pagos en línea, del cual adjunto pruebas documentales, y exijo respuesta en los términos legales.",Reclamo,Alta
Me citaron a las 8am para el sistema de citas y no me atendieron hasta las 12:30pm sin ninguna explicación sobre la demora. Perdí medio día de trabajo.,Queja,Media
Respetuosamente elevo solicitud formal para que se gestione certificados en el menor tiempo posible.,Petición,Baja
"Me permito solicitar de manera formal el acceso a devoluciones, de acuerdo con los derechos que me asisten como ciudadano.",Petición,Baja
"Me prometieron solucionar tiempos de entrega en 5 días y ya van 5 semanas, esto no puede seguir así.",Reclamo,Alta
La aplicación de tiempos de entrega lleva 6 días sin funcionar. He intentado contactar soporte 6 veces y nadie responde ni por correo ni por teléfono.,Queja,Alta
"Oigan, una sugerencia: pongan más personal para el sistema de citas en las horas pico, siempre hay filas enormes.",Sugerencia,Baja
Llevamos meses esperando.,Reclamo,Alta
"Por medio de la presente manifiesto mi inconformidad con el deficiente servicio prestado en los turnos de atención, situación que ha generado perjuicios a mi proceso.",Queja,Media
Pésimo servicio en pagos en línea.,Queja,Alta
Sugiero mejorar los trámites de matrícula para mayor eficiencia.,Sugerencia,Baja
"No puedo creer lo mal que funciona los trámites de matrícula, es una vergüenza para la institución.",Queja,Alta
Me podrían decir qué documentos necesito para el sistema de pagos? Gracias de antemano.,Petición,Baja
"Reclamo formalmente la prestación adecuada de trámites académicos según el contrato suscrito, el cual no ha sido cumplido en sus términos.",Reclamo,Alta
Propongo digitalizar el proceso de inscripción.,Sugerencia,Baja
No han cumplido con el portal estudiantil en el plazo acordado.,Reclamo,Alta
"Estoy muy molesto con tiempos de entrega, es la tercera vez que vengo y nadie me soluciona nada.",Queja,Media
Llevo 2 semanas intentando entender el procedimiento para la plataforma web. He revisado la página pero la información está desactualizada.,Petición,Baja
Mi empleador me pide un documento de el área de nómina para renovar mi contrato. ¿Cuánto tiempo tarda el trámite y qué debo presentar?,Petición,Baja
Nadie responde en los trámites de matrícula.,Queja,Alta
Muy mala atención en la app móvil.,Queja,Alta
Sugiero mejorar la renovación de documentos para mayor eficiencia.,Sugerencia,Baja
"Me prometieron solucionar pagos en línea en 2 días y ya van 2 semanas, esto no puede seguir así.",Reclamo,Alta
Pido información actualizada sobre la renovación de documentos.,Petición,Baja
Los adultos mayores tienen muchas dificultades con trámites académicos. Propongo un módulo de atención preferencial con personal capacitado para este grupo.,Sugerencia,Baja
El 4 de este mes realicé un pago de más de 500.000 pesos por tiempos de entrega. El cargo apareció en mi extracto pero no se ha aplicado. He enviado el comprobante 4 veces sin respuesta.,Reclamo,Alta
Firmé un contrato que garantizaba ciertos estándares en tiempos de entrega. Desde el primer día el servicio ha sido deficiente y nadie asume responsabilidad.,Reclamo,Alta
Necesito con urgencia el certificado de pagos del último año. Ya lo pedí hace dos semanas y no ha llegado.,Petición,Baja
Solicito información sobre el portal estudiantil.,Petición,Media
"Exijo el cumplimiento de lo acordado en la carnetización. Han transcurrido 5 meses sin respuesta, lo cual constituye un incumplimiento contractual.",Reclamo,Alta
El proceso es demasiado complicado y genera mucha confusión. Sería mejor simplificarlo para los usuarios.,Sugerencia,Baja
Sin respuesta desde hace días sobre tiempos de entrega.,Queja,Alta
Sugiero que mejoren la pagina web porque es muy dificil de usar.,Sugerencia,Media
"Hola, ¿me pueden ayudar con información sobre el proceso de inscripción? No sé muy bien a quién dirigirme.",Petición,Baja
¿Alguien me puede decir por qué mi solicitud lleva tanto tiempo sin respuesta? Solo quiero saber el estado.,Petición,Baja
¿Cuándo me van a responder?,Petición,Baja
Firmé un contrato que garantizaba ciertos estándares en tiempos de entrega. Desde el primer día el servicio ha sido deficiente y nadie asume responsabilidad.,Reclamo,Alta
Muy mala atención en la renovación de documentos.,Queja,Media
"Estoy muy molesto con pagos en línea, es la tercera vez que vengo y nadie me soluciona nada.",Queja,Media
"Elevo queja formal por el trato inadecuado recibido en el servicio técnico, el cual no corresponde con los estándares de calidad prometidos.",Queja,Media
¿Cómo accedo a la carnetización?,Petición,Baja
Llevo 2 meses reclamando por devoluciones y nadie me da solución. Voy a poner una denuncia.,Reclamo,Media
El 6 de este mes realicé un pago de más de 500.000 pesos por el sistema de pagos. El cargo apareció en mi extracto pero no se ha aplicado. He enviado el comprobante 6 veces sin respuesta.,Reclamo,Media
Necesito orientación sobre la renovación de documentos.,Petición,Media
"Deberían mejorar la comunicación sobre facturación, nadie sabe bien cómo funciona.",Sugerencia,Baja
"Hola, ¿me pueden ayudar con información sobre el servicio técnico? No sé muy bien a quién dirigirme.",Petición,Media
Pésimo servicio en pagos en línea.,Queja,Baja
"Me dirijo respetuosamente a su despacho con el fin de solicitar pagos en línea, documento necesario para adelantar un trámite ante una entidad externa.",Petición,Baja
"Fui a realizar la plataforma web y la funcionaria me atendió de mala manera, no escuchó mis explicaciones y me dijo que volviera otro día sin justificación.",Queja,Media
"Me dirijo respetuosamente a su despacho con el fin de solicitar la plataforma web, documento necesario para adelantar un trámite ante una entidad externa.",Petición,Baja
"Interpongo reclamo formal por incumplimiento en tiempos de entrega, del cual adjunto pruebas documentales, y exijo respuesta en los términos legales.",Reclamo,Alta
"Llevo 6 semanas con este problema de tiempos de entrega y nadie hace nada, es desesperante.",Queja,Media
Trabajo en el sector y puedo decir que otras entidades han mejorado certificados implementando notificaciones automáticas. Sería fácil de adoptar aquí.,Sugerencia,Baja
Me prometieron que el área de nómina estaría resuelto en 7 días hábiles. Ya van 7 meses y el problema persiste. Voy a escalar a los organismos de control si no hay respuesta esta semana.,Reclamo,Alta
Solicito información sobre trámites académicos.,Petición,Baja
"Elevo propuesta de mejora para el sistema de pagos, considerando que su optimización beneficiaría a un gran número de usuarios.",Sugerencia,Baja
¿Por qué no implementan una opción en línea para el sistema de citas? Ahorraría mucho tiempo a todos.,Sugerencia,Media
"La atención fue muy lenta y el sistema estaba caído, pero al final el funcionario fue amable. Creo que deberían mejorar los tiempos de respuesta.",Sugerencia,Baja
Pagué por un servicio que no recibí correctamente. No quiero causar problemas pero sí necesito una solución.,Reclamo,Alta
Me prometieron que los trámites de matrícula estaría resuelto en 6 días hábiles. Ya van 6 meses y el problema persiste. Voy a escalar a los organismos de control si no hay respuesta esta semana.,Reclamo,Alta
Presento reclamo formal por cobro indebido en los trámites de matrícula. Solicito el reintegro del valor cobrado en exceso en un plazo no mayor a cinco días hábiles.,Reclamo,Alta
La aplicación de el sistema de citas lleva 1 días sin funcionar. He intentado contactar soporte 1 veces y nadie responde ni por correo ni por teléfono.,Queja,Baja
Presento reclamo formal por cobro indebido en la carnetización. Solicito el reintegro del valor cobrado en exceso en un plazo no mayor a cinco días hábiles.,Reclamo,Alta
Solicito información sobre facturación.,Petición,Baja
El personal fue amable pero el proceso tardó cuatro horas para algo que debería durar veinte minutos. Creo que hay algo que mejorar.,Sugerencia,Baja
Me podrían decir qué documentos necesito para los turnos de atención? Gracias de antemano.,Petición,Baja
"Elevo queja formal por el trato inadecuado recibido en el portal estudiantil, el cual no corresponde con los estándares de calidad prometidos.",Queja,Media
El mes pasado me hicieron un cobro que no corresponde. Quisiera que lo revisaran y si es un error lo corrijan.,Reclamo,Media
"Mediante el presente escrito elevo reclamo por el proceso de inscripción, solicitando solución inmediata so pena de acudir a los organismos de control.",Reclamo,Alta
"Como usuario frecuente, noto que el área de nómina genera muchas confusiones. Sugiero crear una guía paso a paso disponible en la página web y en físico en las instalaciones.",Sugerencia,Baja
"Me permito solicitar de manera formal el acceso a los turnos de atención, de acuerdo con los derechos que me asisten como ciudadano.",Petición,Baja
"Sería muy útil que mandaran un correo cuando el sistema de pagos esté listo, así no toca venir a preguntar.",Sugerencia,Baja
"Me permito sugerir respetuosamente la implementación de mejoras en el proceso de inscripción, con el fin de optimizar la experiencia del usuario y reducir los tiempos de atención.",Sugerencia,Media
Soy estudiante de último semestre y necesito tramitar la plataforma web antes del 1 de diciembre para poder graduarme. ¿Cuál es el proceso?,Petición,Baja
Trabajo en el sector y puedo decir que otras entidades han mejorado atención al cliente implementando notificaciones automáticas. Sería fácil de adoptar aquí.,Sugerencia,Baja
¿Cuándo me van a responder?,Petición,Baja
¿Hay alguna forma más rápida de hacer esto?,Petición,Baja
La aplicación de trámites académicos lleva 1 días sin funcionar. He intentado contactar soporte 1 veces y nadie responde ni por correo ni por teléfono.,Queja,Media
¿Hay alguna forma más rápida de hacer esto?,Petición,Baja
"Exijo el cumplimiento de lo acordado en la app móvil. Han transcurrido 1 meses sin respuesta, lo cual constituye un incumplimiento contractual.",Reclamo,Media
"Hola, ¿me pueden ayudar con información sobre la plataforma web? No sé muy bien a quién dirigirme.",Petición,Baja
El personal encargado de la línea de atención telefónica es muy poco amable y no sabe lo que hace.,Queja,Alta
El mes pasado me hicieron un cobro que no corresponde. Quisiera que lo revisaran y si es un error lo corrijan.,Reclamo,Alta
Me citaron a las 8am para facturación y no me atendieron hasta las 12:30pm sin ninguna explicación sobre la demora. Perdí medio día de trabajo.,Queja,Media
¿Cómo accedo a devoluciones?,Petición,Baja
Llevo 1 semanas intentando entender el procedimiento para los trámites de matrícula. He revisado la página pero la información está desactualizada.,Petición,Media
"No puedo creer lo mal que funciona la app móvil, es una vergüenza para la institución.",Queja,Alta
Llevo 5 meses esperando solución a los trámites de matrícula.,Reclamo,Alta
"No puedo creer lo mal que funciona devoluciones, es una vergüenza para la institución.",Queja,Alta
Llevo esperando semanas por certificados.,Queja,Media
Llevo 3 meses reclamando por la app móvil y nadie me da solución. Voy a poner una denuncia.,Reclamo,Alta
Respetuosamente elevo solicitud formal para que se gestione el área de nómina en el menor tiempo posible.,Petición,Media
Presento reclamo formal por cobro indebido en certificados. Solicito el reintegro del valor cobrado en exceso en un plazo no mayor a cinco días hábiles.,Reclamo,Media
"Me permito solicitar de manera formal el acceso a facturación, de acuerdo con los derechos que me asisten como ciudadano.",Petición,Media
"Fui a renovar mi carnet, me dijeron que volviera en una semana, volví y me dijeron que no había sistema. Tercera vez que voy y sigo sin renovarlo.",Queja,Baja
¿Cómo accedo a la renovación de documentos?,Petición,Media
Muy mala atención en devoluciones.,Queja,Media
Mi empleador me pide un documento de el portal estudiantil para renovar mi contrato. ¿Cuánto tiempo tarda el trámite y qué debo presentar?,Petición,Baja
Realicé el pago en línea pero el sistema no me generó el recibo. Necesito ese comprobante para continuar con mi trámite.,Petición,Media
¿Por qué no implementan una opción en línea para la línea de atención telefónica? Ahorraría mucho tiempo a todos.,Sugerencia,Baja
Nunca había tenido que hacer el sistema de citas y no sé por dónde empezar. ¿Hay alguien que me pueda guiar paso a paso?,Petición,Baja
Llevo 2 meses esperando solución a la línea de atención telefónica.,Reclamo,Alta
Muy mala atención en la carnetización.,Queja,Media
Ya se pasó el plazo que me dieron para resolver la plataforma web y siguen sin cumplir.,Reclamo,Alta
Presento reclamo formal por cobro indebido en la plataforma web. Solicito el reintegro del valor cobrado en exceso en un plazo no mayor a cinco días hábiles.,Reclamo,Alta
"Reclamo formalmente la prestación adecuada de el servicio técnico según el contrato suscrito, el cual no ha sido cumplido en sus términos.",Reclamo,Alta
"Esto es un robo, me cobraron de más en los trámites de matrícula y llevan 6 semanas sin devolverme el dinero.",Reclamo,Alta
"Elevo propuesta de mejora para devoluciones, considerando que su optimización beneficiaría a un gran número de usuarios.",Sugerencia,Baja
"Me permito solicitar de manera formal el acceso a el área de nómina, de acuerdo con los derechos que me asisten como ciudadano.",Petición,Baja
La aplicación de devoluciones lleva 5 días sin funcionar. He intentado contactar soporte 5 veces y nadie responde ni por correo ni por teléfono.,Queja,Alta
Requiero certificado de el sistema de pagos.,Petición,Baja
Llevo 7 meses esperando solución a la renovación de documentos.,Reclamo,Alta
Sin respuesta desde hace días sobre los trámites de matrícula.,Queja,Baja
"Reclamo formalmente la prestación adecuada de certificados según el contrato suscrito, el cual no ha sido cumplido en sus términos.",Reclamo,Alta
"Sugiero se contemple la posibilidad de digitalizar los turnos de atención, lo cual reduciría costos operativos y mejoraría la satisfacción del usuario.",Sugerencia,Baja
"Llevo meses esperando respueta y nadie me contacta, esto es injusto.",Reclamo,Alta
"Por medio de la presente, solicito comedidamente que se me suministre información detallada sobre la línea de atención telefónica, conforme a los procedimientos establecidos.",Petición,Baja
Me citaron a las 8am para el sistema de pagos y no me atendieron hasta las 12:30pm sin ninguna explicación sobre la demora. Perdí medio día de trabajo.,Queja,Media
"Sería buenísimo que mejoraran facturación, todos los usuarios se quejan de lo mismo.",Sugerencia,Baja
"Oigan, ¿dónde puedo hacer el trámite de la app móvil? La página no lo explica bien.",Petición,Baja
"El personal de trámites académicos me dio información incorrecta que me hizo perder tiempo y dinero. Cuando volví a reclamar, la asesora fue muy grosero.",Queja,Media
"Hago constar mi malestar ante la falta de respuesta oportuna en la carnetización, situación que se ha prolongado de manera injustificada.",Queja,Media
Firmé un contrato que garantizaba ciertos estándares en el servicio técnico. Desde el primer día el servicio ha sido deficiente y nadie asume responsabilidad.,Reclamo,Alta
Llevo semanas sin poder acceder al portal y nadie me da respuesta. ¿Es esto normal?,Queja,Media
Llevo 7 meses reclamando por el sistema de citas y nadie me da solución. Voy a poner una denuncia.,Reclamo,Media
"Esto es un robo, me cobraron de más en el sistema de pagos y llevan 4 semanas sin devolverme el dinero.",Reclamo,Alta
Sería útil simplificar el sistema de citas.,Sugerencia,Baja
"Llevo 4 meses con este problema de los trámites de matrícula y nadie hace nada, es desesperante.",Queja,Alta
Los adultos mayores tienen muchas dificultades con facturación. Propongo un módulo de atención preferencial con personal capacitado para este grupo.,Sugerencia,Media
"Deberían mejorar la comunicación sobre el área de nómina, nadie sabe bien cómo funciona.",Sugerencia,Baja
Esto está muy mal organizado.,Queja,Media
Llevamos meses esperando.,Reclamo,Alta
"Llevo meses esperando respueta y nadie me contacta, esto es injusto.",Reclamo,Media
"Interpongo reclamo formal por incumplimiento en facturación, del cual adjunto pruebas documentales, y exijo respuesta en los términos legales.",Reclamo,Alta
"Sería buenísimo que mejoraran el proceso de inscripción, todos los usuarios se quejan de lo mismo.",Sugerencia,Baja
Nunca había tenido que hacer trámites académicos y no sé por dónde empezar. ¿Hay alguien que me pueda guiar paso a paso?,Petición,Baja
Pésimo servicio en los trámites de matrícula.,Queja,Baja
"Deberían mejorar la comunicación sobre el área de nómina, nadie sabe bien cómo funciona.",Sugerencia,Media
¿Por qué no implementan una opción en línea para los turnos de atención? Ahorraría mucho tiempo a todos.,Sugerencia,Media
"Por medio de la presente manifiesto mi inconformidad con el deficiente servicio prestado en el servicio técnico, situación que ha generado perjuicios a mi proceso.",Queja,Media
Solicito información sobre la plataforma web.,Petición,Media
Llevo 3 meses esperando solución a el área de nómina.,Reclamo,Media
Pésimo servicio en trámites académicos.,Queja,Alta
"Estoy muy molesto con los trámites de matrícula, es la tercera vez que vengo y nadie me soluciona nada.",Queja,Baja
Propongo más capacitación del personal en la línea de atención telefónica.,Sugerencia,Baja
Pésimo servicio en la renovación de documentos.,Queja,Media
"Sería muy útil que mandaran un correo cuando la renovación de documentos esté listo, así no toca venir a preguntar.",Sugerencia,Baja
El 2 de este mes realicé un pago de más de 500.000 pesos por devoluciones. El cargo apareció en mi extracto pero no se ha aplicado. He enviado el comprobante 2 veces sin respuesta.,Reclamo,Alta
Necesito con urgencia el certificado de pagos del último año. Ya lo pedí hace dos semanas y no ha llegado.,Petición,Media
"Hago constar mi malestar ante la falta de respuesta oportuna en el sistema de citas, situación que se ha prolongado de manera injustificada.",Queja,Media
Necesito orientación sobre el sistema de citas.,Petición,Baja
"Por medio de la presente manifiesto mi inconformidad con el deficiente servicio prestado en el portal estudiantil, situación que ha generado perjuicios a mi proceso.",Queja,Media
Muy mala atención en la plataforma web.,Queja,Baja
"Oigan, una sugerencia: pongan más personal para el área de nómina en las horas pico, siempre hay filas enormes.",Sugerencia,Baja
Los adultos mayores tienen muchas dificultades con la renovación de documentos. Propongo un módulo de atención preferencial con personal capacitado para este grupo.,Sugerencia,Baja
"Oigan, ¿dónde puedo hacer el trámite de el sistema de pagos? La página no lo explica bien.",Petición,Baja
"Por medio de la presente manifiesto mi inconformidad con el deficiente servicio prestado en el sistema de pagos, situación que ha generado perjuicios a mi proceso.",Queja,Media
Presento reclamo formal por cobro indebido en el proceso de inscripción. Solicito el reintegro del valor cobrado en exceso en un plazo no mayor a cinco días hábiles.,Reclamo,Alta
"Sería buenísimo que mejoraran el área de nómina, todos los usuarios se quejan de lo mismo.",Sugerencia,Media
Firmé un contrato que garantizaba ciertos estándares en el sistema de citas. Desde el primer día el servicio ha sido deficiente y nadie asume responsabilidad.,Reclamo,Alta
¿Hay alguna forma más rápida de hacer esto?,Petición,Baja
Realicé el pago en línea pero el sistema no me generó el recibo. Necesito ese comprobante para continuar con mi trámite.,Petición,Baja
"Por medio de la presente manifiesto mi inconformidad con el deficiente servicio prestado en pagos en línea, situación que ha generado perjuicios a mi proceso.",Queja,Media
"Oigan, una sugerencia: pongan más personal para el servicio técnico en las horas pico, siempre hay filas enormes.",Sugerencia,Baja
Por fabor necesito información de mis tramites lo antes posible.,Petición,Baja
Propongo digitalizar certificados.,Sugerencia,Baja
Esto está muy mal organizado.,Queja,Baja
El 6 de este mes realicé un pago de más de 500.000 pesos por el proceso de inscripción. El cargo apareció en mi extracto pero no se ha aplicado. He enviado el comprobante 6 veces sin respuesta.,Reclamo,Media
"Sugiero se contemple la posibilidad de digitalizar atención al cliente, lo cual reduciría costos operativos y mejoraría la satisfacción del usuario.",Sugerencia,Baja
"Me permito sugerir respetuosamente la implementación de mejoras en pagos en línea, con el fin de optimizar la experiencia del usuario y reducir los tiempos de atención.",Sugerencia,Baja
Firmé un contrato que garantizaba ciertos estándares en el portal estudiantil. Desde el primer día el servicio ha sido deficiente y nadie asume responsabilidad.,Reclamo,Alta
"Como usuario frecuente, noto que trámites académicos genera muchas confusiones. Sugiero crear una guía paso a paso disponible en la página web y en físico en las instalaciones.",Sugerencia,Media
"Con el ánimo de contribuir al mejoramiento institucional, propongo que se revisen los procedimientos de la plataforma web para hacerlos más eficientes.",Sugerencia,Media
